newton: 2.8421787, n=0
newton: 3.2934342, n=1
newton: 3.0620256, n=2
newton: 3.1836257, n=3
newton: 3.1193389, n=4
newton: 3.1533818, n=5
newton: 3.1353462, n=6
newton: 3.1449025, n=7
newton: 3.1398388, n=8
newton: 3.1425220, n=9
newton: 3.1411002, n=10
newton: 3.1418536, n=11
newton: 3.1414544, n=12
newton: 3.1416659, n=13
bisection: 2.5000000, n=0
bisection: 3.2500000, n=1
bisection: 2.8750000, n=2
bisection: 3.0625000, n=3
bisection: 3.1562500, n=4
bisection: 3.1093750, n=5
bisection: 3.1328125, n=6
bisection: 3.1445312, n=7
bisection: 3.1386719, n=8
bisection: 3.1416016, n=9
bisection: 3.1401367, n=10
bisection: 3.1408691, n=11
bisection: 3.1412354, n=12
bisection: 3.1414185, n=13
bisection: 3.1415100, n=14
secant: 2.5794625, n=0
secant: 3.1664810, n=1
secant: 3.1402952, n=2
secant: 3.1415928, n=3
secant: 3.1415928, n=4
newton: 0.6551451, n=0
newton: 0.5553604, n=1
newton: 0.4942097, n=2
newton: 0.4509777, n=3
newton: 0.4180604, n=4
newton: 0.3918003, n=5
newton: 0.3701613, n=6
newton: 0.3518982, n=7
newton: 0.3361968, n=8
newton: 0.3224974, n=9
newton: 0.3103999, n=10
newton: 0.2996092, n=11
newton: 0.2899020, n=12
newton: 0.2811056, n=13
newton: 0.2730839, n=14
newton: 0.2657278, n=15
newton: 0.2589490, n=16
newton: 0.2526747, n=17
newton: 0.2468446, n=18
newton: 0.2414081, n=19
newton: 0.2363222, n=20
newton: 0.2315505, n=21
newton: 0.2270615, n=22
newton: 0.2228281, n=23
newton: 0.2188267, n=24
newton: 0.2150367, n=25
newton: 0.2114400, n=26
newton: 0.2080205, n=27
newton: 0.2047639, n=28
newton: 0.2016577, n=29
newton: 0.1986906, n=30
newton: 0.1958524, n=31
newton: 0.1931339, n=32
newton: 0.1905268, n=33
newton: 0.1880239, n=34
newton: 0.1856181, n=35
newton: 0.1833035, n=36
newton: 0.1810742, n=37
newton: 0.1789252, n=38
newton: 0.1768518, n=39
newton: 0.1748495, n=40
newton: 0.1729144, n=41
